Column,Bidirectional LSTM,DNN,GRU,LSTM,SimpleRNN
 ,0.5755586110111037,0.5755586110111037,0.5755586110111037,0.5755586110111037,0.5755586110111037
Point(138.8275195 36.5786787),0.13307340264765316,0.13307340264765316,0.13307340264765316,0.13307340264765316,0.13307340264765316
Point(138.8939601 36.25898610000001),0.4436925687076225,0.4436925687076225,0.4436925687076225,0.4436925687076225,0.4436925687076225
Point(138.9955116 36.33801589999999),0.4034224397669927,0.4034224397669927,0.4034224397669927,0.4034224397669927,0.4034224397669927
Point(139.0428727 36.3816035),0.1834498639609281,0.1834498639609281,0.1834498639609281,0.1834498639609281,0.1834498639609281
Point(139.0432674 36.64710669999999),0.3375864470675666,0.3375864470675666,0.3375864470675666,0.3375864470675666,0.3375864470675666
Point(139.0960211 36.4047323),0.5328791603178598,0.5328791603178598,0.5328791603178598,0.5328791603178598,0.5328791603178598
Point(139.342672 36.4105658),0.36453932960680013,0.36453932960680013,0.36453932960680013,0.36453932960680013,0.36453932960680013
Point(139.3817322 36.2909131),0.30359401024498633,0.30359401024498633,0.30359401024498633,0.30359401024498633,0.30359401024498633
Point(139.5317782 36.2499123),0.23254982035386668,0.23254982035386668,0.23254982035386668,0.23254982035386668,0.23254982035386668
